,0
0,Holiday_Flag
1,
2,Weekly_SalesTemperatureFuel_Price
3,DateFuel_Price
4,
5,Temperature
6,
7,
8,CPIUnemployment
9,Date
10,
11,
12,
13,
14,
15,Holiday_Flag
16,CPI
17,Date
18,Fuel_PriceCPI
19,Weekly_Sales
20,
21,
22,
23,
24,
25,
26,CPI
27,
28,
29,Temperature
30,
31,Weekly_SalesTemperature
32,
33,Fuel_PriceCPI
34,DateUnemployment
35,
36,
37,Temperature
38,
39,
40,
41,Temperature
42,DateTemperature
43,Holiday_Flag
44,
45,
46,
47,
48,Holiday_Flag
49,
50,
51,
52,Unemployment
53,Holiday_Flag
54,
55,
56,
57,Weekly_SalesTemperature
58,Temperature
59,
60,Temperature
61,
62,
63,
64,
65,DateHoliday_Flag
66,
67,
68,
69,Weekly_Sales
70,CPI
71,Weekly_SalesUnemployment
72,
73,Holiday_Flag
74,Unemployment
75,
76,
77,Weekly_SalesCPI
78,
79,Fuel_PriceCPI
80,
81,DateTemperature
82,Date
83,Date
84,Weekly_Sales
85,
86,DateTemperature
87,
88,Date
89,Date
90,Holiday_Flag
91,DateCPI
92,DateTemperatureUnemployment
93,Temperature
94,
95,
96,Fuel_Price
97,Fuel_PriceUnemployment
98,Fuel_Price
99,
100,
101,Fuel_Price
102,Date
103,
104,
105,
106,Fuel_PriceCPI
107,
108,Unemployment
109,Weekly_SalesHoliday_Flag
110,
111,Temperature
112,Unemployment
113,Fuel_Price
114,
115,TemperatureUnemployment
116,
117,Weekly_Sales
118,Holiday_Flag
119,Unemployment
120,
121,
122,
123,Temperature
124,Fuel_Price
125,
126,Weekly_Sales
127,
128,
129,Date
130,
131,TemperatureUnemployment
132,
133,Weekly_SalesFuel_Price
134,Weekly_Sales
135,
136,Holiday_Flag
137,Date
138,
139,
140,Weekly_Sales
141,Fuel_Price
142,CPI
143,
144,
145,
146,DateHoliday_FlagCPIUnemployment
147,Unemployment
148,Unemployment
149,
